Volume Shockers ,
Date: 29-May-2025,
Major Stocks,
Generated by and for: shiva.tiwari177@gmail.com,

Stock Name,Symbol,Exch,Sector Name,Industry Name,MCap (Rs. Cr.),MCap Category,Today's Volume,Avg. Volume,Times(x),LTP,Change,Change%,Symbol with Comma for External Upload
Welspun Corp Ltd.,WELCORP,NSE,Iron & Steel,Steel & Iron Products,23558.36,Small Cap,19181775.00,651891.80,29.42,895.00,81.35,10.00,"WELCORP,"
Castrol India Ltd.,CASTROLIND,NSE,Automobile & Ancillaries,Lubricants,21582.65,Small Cap,25739720.00,1111349.20,23.16,218.24,11.70,5.66,"CASTROLIND,"
FDC Ltd.,FDC,NSE,Healthcare,Pharmaceuticals & Drugs,7204.35,Small Cap,761280.00,45466.60,16.74,442.85,-13.60,-2.98,"FDC,"
Asahi India Glass Ltd.,ASAHIINDIA,NSE,Construction Materials,Glass,18607.32,Small Cap,1282272.00,107744.40,11.90,765.40,43.60,6.04,"ASAHIINDIA,"
MMTC Ltd.,MMTC,NSE,Trading,Trading,12204,Small Cap,201711846.00,17213027.00,11.72,81.11,11.69,16.84,"MMTC,"
Varroc Engineering Ltd.,VARROC,NSE,Automobile & Ancillaries,Auto Ancillary,7840.23,Small Cap,628803.00,60639.20,10.37,512.15,5.80,1.15,"VARROC,"
KIOCL Ltd.,KIOCL,NSE,Mining,Mining & Minerals,18740.01,Small Cap,1365574.00,135075.00,10.11,308.05,16.00,5.48,"KIOCL,"
Natco Pharma Ltd.,NATCOPHARM,NSE,Healthcare,Pharmaceuticals & Drugs,16000.78,Small Cap,3968136.00,452388.40,8.77,893.70,31.40,3.64,"NATCOPHARM,"
Cummins India Ltd.,CUMMINSIND,NSE,Automobile & Ancillaries,Diesel Engines,87934.77,Large Cap,4080348.00,519444.00,7.86,3169.40,193.30,6.50,"CUMMINSIND,"
Century Plyboards (India) Ltd.,CENTURYPLY,NSE,Construction Materials,Wood & Wood Products,17683.86,Small Cap,435270.00,55705.80,7.81,797.70,22.45,2.90,"CENTURYPLY,"
Birlasoft Ltd.,BSOFT,NSE,Information Technology,IT - Software,11686.13,Small Cap,8407463.00,1163706.80,7.22,420.75,-2.55,-0.60,"BSOFT,"
JSW Holdings Ltd.,JSWHL,NSE,Finance,Finance - Investment,24861.27,Small Cap,6315.00,918.40,6.88,22435.00,-900.00,-3.86,"JSWHL,"
Deepak Nitrite Ltd.,DEEPAKNTR,NSE,Chemicals,Chemicals,28654.13,Mid Cap,2460546.00,365205.80,6.74,2100.40,100.30,5.01,"DEEPAKNTR,"
Prestige Estates Projects Ltd.,PRESTIGE,NSE,Realty,Construction - Real Estate,64669.84,Mid Cap,2677382.00,436507.20,6.13,1500.90,49.10,3.38,"PRESTIGE,"
Laxmi Organic Industries Ltd.,LXCHEM,NSE,Chemicals,Chemicals,5646.62,Small Cap,2722408.00,552788.00,4.92,203.76,10.17,5.25,"LXCHEM,"
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC,NSE,Hospitality,Travel Services,61976,Mid Cap,5124252.00,1105242.20,4.64,774.70,-1.65,-0.21,"IRCTC,"
Devyani International Ltd.,DEVYANI,NSE,Fast Moving Consumer Goods,Consumer Food,20533.68,Small Cap,6662399.00,1466383.00,4.54,170.08,-3.16,-1.82,"DEVYANI,"
Mastek Ltd.,MASTEK,NSE,Information Technology,IT - Software,7152,Small Cap,299471.00,70411.00,4.25,2308.30,60.20,2.68,"MASTEK,"
Kirloskar Oil Engines Ltd.,KIRLOSENG,NSE,Capital Goods,Engineering - Industrial Equipments,12931.19,Small Cap,838059.00,208155.40,4.03,890.80,38.10,4.47,"KIRLOSENG,"
Anant Raj Ltd.,ANANTRAJ,NSE,Realty,Construction - Real Estate,18700.84,Small Cap,6566528.00,1632628.00,4.02,544.85,28.15,5.45,"ANANTRAJ,"
Nava Ltd.,NAVA,NSE,Power,Power Generation/Distribution,13412.85,Small Cap,656571.00,166334.80,3.95,473.90,15.15,3.30,"NAVA,"
Godrej Consumer Products Ltd.,GODREJCP,NSE,Fast Moving Consumer Goods,Household & Personal Products,127446.33,Large Cap,1471954.00,379319.00,3.88,1246.10,-12.90,-1.02,"GODREJCP,"
HEG Ltd.,HEG,NSE,Capital Goods,Electrodes & Welding Equipment,9913.26,Small Cap,4497298.00,1193388.20,3.77,514.35,23.65,4.82,"HEG,"
Engineers India Ltd.,ENGINERSIN,NSE,Capital Goods,Engineering,12221.61,Small Cap,13014057.00,3528942.00,3.69,217.36,5.98,2.83,"ENGINERSIN,"
Mishra Dhatu Nigam Ltd.,MIDHANI,NSE,Iron & Steel,Steel & Iron Products,8198.94,Small Cap,6088910.00,1661668.20,3.66,437.30,19.05,4.55,"MIDHANI,"
TTK Prestige Ltd.,TTKPRESTIG,NSE,Consumer Durables,Consumer Durables - Domestic Appliances,8521.03,Small Cap,895427.00,252952.40,3.54,622.50,1.55,0.25,"TTKPRESTIG,"
Nuvama Wealth Management Ltd.,NUVAMA,NSE,Finance,Finance - Others,25084.48,Small Cap,166040.00,50850.20,3.27,6959.50,36.00,0.52,"NUVAMA,"
Ipca Laboratories Ltd.,IPCALAB,NSE,Healthcare,Pharmaceuticals & Drugs,37264.08,Mid Cap,514745.00,159046.20,3.24,1470.00,-24.80,-1.66,"IPCALAB,"
Cohance Lifesciences Ltd.,COHANCE,NSE,Healthcare,Pharmaceuticals & Drugs,40804.61,Small Cap,319130.00,99916.60,3.19,1066.50,-42.30,-3.81,"COHANCE,"
RHI Magnesita India Ltd.,RHIM,NSE,Capital Goods,Refractories,9485.64,Small Cap,305009.00,96515.60,3.16,458.85,-9.25,-1.98,"RHIM,"
Graphite India Ltd.,GRAPHITE,NSE,Capital Goods,Electrodes & Welding Equipment,10801.34,Small Cap,2875975.00,967757.60,2.97,553.25,22.05,4.15,"GRAPHITE,"
Tata Consumer Products Ltd.,TATACONSUM,NSE,Agriculture,Tea/Coffee,109814.95,Large Cap,2556089.00,864455.40,2.96,1109.80,-11.60,-1.03,"TATACONSUM,"
Bikaji Foods International Ltd.,BIKAJI,NSE,Fast Moving Consumer Goods,Consumer Food,19251.78,Small Cap,660898.00,224209.60,2.95,768.70,24.70,3.32,"BIKAJI,"
Ramkrishna Forgings Ltd.,RKFORGE,NSE,Automobile & Ancillaries,Forgings,10811.51,Small Cap,910575.00,310436.00,2.93,597.00,-11.30,-1.86,"RKFORGE,"
Honeywell Automation India Ltd.,HONAUT,NSE,Consumer Durables,Consumer Durables - Electronics,34319.57,Mid Cap,9490.00,3291.80,2.88,38820.00,900.00,2.37,"HONAUT,"
Sagility India Ltd.,SAGILITY,NSE,Other,Business Support,18430.39,Small Cap,105623626.00,37719723.20,2.80,39.35,-0.58,-1.45,"SAGILITY,"
Alkem Laboratories Ltd.,ALKEM,NSE,Healthcare,Pharmaceuticals & Drugs,63285.75,Mid Cap,312981.00,112875.00,2.77,5294.50,30.00,0.57,"ALKEM,"
Galaxy Surfactants Ltd.,GALAXYSURF,NSE,Fast Moving Consumer Goods,Household & Personal Products,8100.88,Small Cap,90852.00,32873.60,2.76,2287.20,68.80,3.10,"GALAXYSURF,"
Niva Bupa Health Insurance Company Ltd.,NIVABUPA,NSE,Finance,Insurance,16885.58,Small Cap,13288143.00,4849261.40,2.74,92.35,4.41,5.01,"NIVABUPA,"
Intellect Design Arena Ltd.,INTELLECT,NSE,Information Technology,IT - Software,15946.84,Small Cap,1926038.00,711831.40,2.71,1147.90,49.85,4.54,"INTELLECT,"
Page Industries Ltd.,PAGEIND,NSE,Textile,Textile,51720.79,Mid Cap,35571.00,13308.40,2.67,46345.00,250.00,0.54,"PAGEIND,"
Deepak Fertilisers And Petrochemicals Corporation Ltd.,DEEPAKFERT,NSE,Chemicals,Chemicals,19252.12,Small Cap,2044345.00,774407.20,2.64,1519.50,74.80,5.18,"DEEPAKFERT,"
Neuland Laboratories Ltd.,NEULANDLAB,NSE,Healthcare,Pharmaceuticals & Drugs,14437.47,Small Cap,65689.00,24929.20,2.64,11230.00,166.00,1.50,"NEULANDLAB,"
Motilal Oswal Financial Services Ltd.,MOTILALOFS,NSE,Finance,Finance - Stock Broking,48535.43,Mid Cap,3788096.00,1460413.00,2.59,809.95,21.10,2.67,"MOTILALOFS,"
Jindal Stainless Ltd.,JSL,NSE,Iron & Steel,Steel & Iron Products,55130.78,Mid Cap,1333101.00,515498.20,2.59,669.20,22.15,3.42,"JSL,"
Amara Raja Energy & Mobility Ltd.,ARE&M,NSE,Automobile & Ancillaries,Batteries,19935.12,Small Cap,1232891.00,482317.20,2.56,1089.40,32.25,3.05,"ARE&M,"
Balaji Amines Ltd.,BALAMINES,NSE,Chemicals,Chemicals,4716.78,Small Cap,139024.00,55145.80,2.52,1457.00,-34.60,-2.32,"BALAMINES,"
Chalet Hotels Ltd.,CHALET,NSE,Hospitality,"Hotel, Resort & Restaurants",20415.74,Small Cap,299925.00,120423.00,2.49,934.30,-4.45,-0.47,"CHALET,"
EIH Ltd.,EIHOTEL,NSE,Hospitality,"Hotel, Resort & Restaurants",22835.17,Small Cap,830929.00,336315.60,2.47,365.35,0.35,0.10,"EIHOTEL,"
Gland Pharma Ltd.,GLAND,NSE,Healthcare,Pharmaceuticals & Drugs,26043.87,Small Cap,246728.00,100712.80,2.45,1578.20,52.50,3.44,"GLAND,"
KPIT Technologies Ltd.,KPITTECH,NSE,Information Technology,IT - Software,36920.32,Mid Cap,1367054.00,563063.00,2.43,1346.30,14.60,1.10,"KPITTECH,"
United Breweries Ltd.,UBL,NSE,Alcohol,Breweries & Distilleries,53009.27,Mid Cap,197687.00,82880.60,2.39,2004.40,-55.60,-2.70,"UBL,"
Aadhar Housing Finance Ltd.,AADHARHFC,NSE,Finance,Finance - Housing,18593.22,Small Cap,712563.00,300309.80,2.37,430.10,-9.55,-2.17,"AADHARHFC,"
